116,154,163,1136,1316,1508,2657
30,234,490,1302,1566,2027,3404
211,384,434,1604,1835,1859,3164
328,713,1206,1947,2235,2858,4066
124,278,420,1450,1581,1778,2833
277,812,1092,1641,1690,2303,3467
128,460,1184,1712,1790,2553,3337
327,927,1287,1620,1927,2294,3238
143,552,633,1495,1321,1867,2519
239,1053,1163,1659,1848,2427,3143
230,1247,1094,1852,2216,2743,3340
273,1278,1123,2099,2343,2955,3472
221,965,641,1985,1909,2379,3159
584,1768,1608,2551,3015,3557,3571
356,1798,1450,2553,2922,3487,3571
454,1559,1246,2630,2954,3428,3599
347,1017,1045,1990,2031,2453,3063
583,1498,1378,2829,2965,3667,3600
456,1671,1660,2768,2947,3572,3434
455,1675,1656,3155,3371,4118,3734
572,1552,1558,2252,2639,2861,2991
780,2071,1885,3480,3832,4071,3938
654,1860,1736,3093,3324,3784,3674
890,1734,1775,3421,3642,3976,3606
692,1568,1620,2491,2670,2831,3008
781,1665,1650,3456,3545,4041,3913
787,1575,1563,3086,3149,3450,3442
736,1642,1580,3543,3654,3978,3759
878,1400,1591,2636,2502,2950,3052
897,1695,1630,3771,3744,4032,3733
770,1235,1244,2881,2903,3183,3073
802,1526,1527,3268,3239,3478,3344
317,1438,1434,2233,2428,2590,2414
422,1122,1162,2661,2708,2756,2827
333,1302,1173,2311,2714,2468,2662
296,857,852,1689,1845,1906,1892
128,635,681,1514,1671,1761,1604
235,867,943,1682,1612,1704,1797
271,853,964,2130,1928,2309,2210
214,940,1079,1535,1656,1745,1633
172,663,922,1425,1512,1651,1742
342,984,1292,1700,2223,2212,2200
409,1386,1260,2189,2581,2534,2543
412,1382,1659,2567,2992,3209,2964
609,1252,1346,1956,2087,2457,2171
897,2043,2613,3052,3445,3498,3072
