187,1818,1432,520,685,1011,1522,1763,1760,1654,991,719,2900,3383,1969,1255,933,992,5070,4478,4128,4264,4550,4104,3130,3018,2931,3033,2915,2510,1990
538,1354,1156,275,594,1009,1618,1731,1924,1859,1031,806,2700,2915,2245,1193,1238,1030,4615,3812,3924,3803,4120,3609,2847,2810,2741,2811,2615,2275,1923
262,1098,804,492,856,1014,1609,1862,2035,1804,1397,530,2752,2942,2952,1568,687,853,4118,3257,3317,3236,3614,3067,2437,2197,2330,2539,2264,1767,1592
348,862,756,409,754,1052,1683,2029,2026,1773,1702,639,2706,2874,2598,1934,694,1190,5536,4407,4525,4298,4430,3772,2954,2916,2848,2846,2527,2027,1886
204,390,283,614,881,944,1643,1754,2007,2056,1345,871,3793,3843,2481,2080,934,987,4597,3713,3612,3658,3676,3046,2512,2270,2395,2504,2089,1704,1597
170,414,353,472,626,1019,1446,1541,1519,2508,1326,1290,2954,3158,2569,1662,1221,1028,4213,3324,3204,3177,3355,2931,2238,2040,2078,2244,1954,1562,1470
229,194,173,605,1434,1291,2088,1562,2002,2318,1558,763,3094,2758,3264,1657,980,913,3709,3039,2917,2802,3052,2592,2057,1914,1862,1906,1810,1492,1272
113,312,215,708,809,1155,1803,1815,1884,1818,1938,801,2605,2797,2581,1847,862,790,4581,3648,3544,3284,3510,3294,2588,2172,2077,2199,2102,1747,1289
57,220,232,1036,1403,1356,2125,2780,2824,1718,1589,900,4615,4453,2094,2100,832,1170,4107,3247,2963,2803,3111,2517,1893,1822,1795,1848,1795,1348,1119
57,152,121,853,1150,1393,1941,2177,2555,1965,1282,1294,3699,3829,2085,1602,1112,1035,3535,2717,2524,2398,2554,2130,1607,1514,1534,1606,1558,1160,911
88,158,168,1341,1354,1360,2290,1863,2489,3203,1371,852,3084,3159,3306,1458,994,981,3478,2335,2281,2173,2465,1896,1605,1323,1328,1666,1335,995,774
